phase,product_id,legacy_product_id,title,handle,status,online,google,shop,variant_count,variant_offer_ids,variant_skus
before,gid://shopify/Product/10644511359309,10644511359309,Tega Baby Wanna dziecięca Miś 102 cm,tega-baby-wanna-dziecieca-mis-102-cm,ACTIVE,False,False,False,1,shopify_PL_10644511359309_53812106363213,771546
before,gid://shopify/Product/10644511293773,10644511293773,Tega Baby Wanna dziecięca Miś 86 cm,tega-baby-wanna-dziecieca-mis-86-cm,ACTIVE,False,False,False,1,shopify_PL_10644511293773_53812106297677,10953
before,gid://shopify/Product/10644511228237,10644511228237,Tega Baby Wanienka Monsters z odpływem 102 cm,tega-baby-wanienka-monsters-z-odplywem-102-cm,ACTIVE,False,False,False,1,shopify_PL_10644511228237_53812106232141,5906224
before,gid://shopify/Product/10644511195469,10644511195469,Tega Baby Wanienka Monsters z odpływem 86 cm,tega-baby-wanienka-monsters-z-odplywem-86-cm,ACTIVE,False,False,False,1,shopify_PL_10644511195469_53812106199373,5906227
before,gid://shopify/Product/10644511064397,10644511064397,Tega Baby Wanna dziecięca Meteo z odpływem 102 cm,tega-baby-wanna-dziecieca-meteo-z-odplywem-102-cm,ACTIVE,False,False,False,3,shopify_PL_10644511064397_53812106068301 | shopify_PL_10644511064397_53816003101005 | shopify_PL_10644511064397_53816003133773,786676 | 786678 | 786679
before,gid://shopify/Product/10644510900557,10644510900557,Tega Baby Wanna dziecięca Meteo z odpływem 86 cm,tega-baby-wanna-dziecieca-meteo-z-odplywem-86-cm,ACTIVE,False,False,False,3,shopify_PL_10644510900557_53812105904461 | shopify_PL_10644510900557_53816003002701 | shopify_PL_10644510900557_53816003035469,786680 | 786683 | 786682
before,gid://shopify/Product/10644510671181,10644510671181,Tega Baby Wanna dziecięca Króliczki z odpływem 102 cm,tega-baby-wanna-dziecieca-kroliczki-z-odplywem-102-cm,ACTIVE,False,False,False,3,shopify_PL_10644510671181_53812105675085 | shopify_PL_10644510671181_53816002937165 | shopify_PL_10644510671181_53816002969933,762788 | 791380 | 791381
before,gid://shopify/Product/10644510540109,10644510540109,Tega Baby Wanna dziecięca Króliczki z odpływem 86 cm,tega-baby-wanna-dziecieca-kroliczki-z-odplywem-86-cm,ACTIVE,False,False,False,2,shopify_PL_10644510540109_53812105544013 | shopify_PL_10644510540109_53816002871629,762787 | 788737
before,gid://shopify/Product/10644510441805,10644510441805,Tega Baby Wanna dziecięca Leśna Opowieść 102 cm,tega-baby-wanna-dziecieca-lesna-opowiesc-102-cm,ACTIVE,False,False,False,5,shopify_PL_10644510441805_53812105445709 | shopify_PL_10644510441805_53816002707789 | shopify_PL_10644510441805_53816002740557 | shopify_PL_10644510441805_53816002773325 | shopify_PL_10644510441805_53816002806093,772413 | 772414 | 772415 | 772416 | 772417
before,gid://shopify/Product/10644510146893,10644510146893,Tega Baby Wanna dziecięca Leśna Opowieść 86 cm,tega-baby-wanna-dziecieca-lesna-opowiesc-86-cm,ACTIVE,False,False,False,5,shopify_PL_10644510146893_53812105150797 | shopify_PL_10644510146893_53816002543949 | shopify_PL_10644510146893_53816002576717 | shopify_PL_10644510146893_53816002609485 | shopify_PL_10644510146893_53816002642253,772418 | 772419 | 772420 | 772421 | 772422
before,gid://shopify/Product/10644509720909,10644509720909,Tega Baby Wanienka składana z odpływem standard,tega-baby-wanienka-skladana-z-odplywem-standard,ACTIVE,False,False,False,3,shopify_PL_10644509720909_53812104593741 | shopify_PL_10644509720909_53816003395917 | shopify_PL_10644509720909_53816003428685,5914538 | 5914539 | 5914540
before,gid://shopify/Product/10644509622605,10644509622605,Tega Baby Wanna dziecięca Dziki Zachód 102 cm,tega-baby-wanna-dziecieca-dziki-zachod-102-cm,ACTIVE,False,False,False,2,shopify_PL_10644509622605_53812104462669 | shopify_PL_10644509622605_53816003297613,779256 | 779244
before,gid://shopify/Product/10644509524301,10644509524301,Tega Baby Wanna dziecięca Dziki Zachód z odpływem 86 cm,tega-baby-wanna-dziecieca-dziki-zachod-z-odplywem-86-cm,ACTIVE,False,False,False,2,shopify_PL_10644509524301_53812104331597 | shopify_PL_10644509524301_53816003330381,779258 | 779246
